scheme_code,instrument,isin,weight,report_date
120503,HDFC Bank Ltd,INE040A01034,0.082,2025-12-31
120503,ICICI Bank Ltd,INE090A01021,0.075,2025-12-31
120503,Infosys Ltd,INE009A01021,0.068,2025-12-31
120503,Reliance Industries Ltd,INE002A01018,0.065,2025-12-31
120503,Bajaj Finance Ltd,INE296A01024,0.058,2025-12-31
120503,Tata Consultancy Services Ltd,INE467B01029,0.055,2025-12-31
120503,Titan Company Ltd,INE280A01028,0.05,2025-12-31
120503,Bharti Airtel Ltd,INE397D01024,0.045,2025-12-31
120503,Larsen & Toubro Ltd,INE018A01030,0.042,2025-12-31
120503,Asian Paints Ltd,INE021A01026,0.038,2025-12-31
120503,Nestle India Ltd,INE239A01016,0.035,2025-12-31
120503,Hindustan Unilever Ltd,INE030A01027,0.032,2025-12-31
120503,Sun Pharmaceutical Industries Ltd,INE044A01036,0.03,2025-12-31
120503,Maruti Suzuki India Ltd,INE585B01010,0.028,2025-12-31
120503,HCL Technologies Ltd,INE860A01027,0.025,2025-12-31
120503,Kotak Mahindra Bank Ltd,INE237A01028,0.022,2025-12-31
120503,UltraTech Cement Ltd,INE481G01011,0.02,2025-12-31
120503,ITC Ltd,INE154A01025,0.018,2025-12-31
120503,Divi's Laboratories Ltd,INE361B01024,0.015,2025-12-31
120503,Wipro Ltd,INE075A01022,0.012,2025-12-31
