scheme_code,instrument,isin,weight,report_date
119598,Reliance Industries Ltd,INE002A01018,0.095,2025-12-31
119598,HDFC Bank Ltd,INE040A01034,0.088,2025-12-31
119598,ICICI Bank Ltd,INE090A01021,0.082,2025-12-31
119598,Tata Consultancy Services Ltd,INE467B01029,0.075,2025-12-31
119598,Infosys Ltd,INE009A01021,0.07,2025-12-31
119598,ITC Ltd,INE154A01025,0.062,2025-12-31
119598,Hindustan Unilever Ltd,INE030A01027,0.055,2025-12-31
119598,Bharti Airtel Ltd,INE397D01024,0.05,2025-12-31
119598,Larsen & Toubro Ltd,INE018A01030,0.048,2025-12-31
119598,State Bank of India,INE062A01020,0.042,2025-12-31
119598,Kotak Mahindra Bank Ltd,INE237A01028,0.038,2025-12-31
119598,Sun Pharmaceutical Industries Ltd,INE044A01036,0.035,2025-12-31
119598,Maruti Suzuki India Ltd,INE585B01010,0.032,2025-12-31
119598,Mahindra & Mahindra Ltd,INE101A01026,0.03,2025-12-31
119598,HCL Technologies Ltd,INE860A01027,0.028,2025-12-31
119598,Power Grid Corporation of India Ltd,INE752E01010,0.025,2025-12-31
119598,NTPC Ltd,INE733E01010,0.022,2025-12-31
119598,UltraTech Cement Ltd,INE481G01011,0.02,2025-12-31
119598,Titan Company Ltd,INE280A01028,0.018,2025-12-31
119598,Bajaj Finance Ltd,INE296A01024,0.015,2025-12-31
