scheme_code,instrument,isin,weight,report_date
118989,Bajaj Finance Ltd,INE296A01024,0.068,2025-12-31
118989,Titan Company Ltd,INE280A01028,0.062,2025-12-31
118989,Asian Paints Ltd,INE021A01026,0.058,2025-12-31
118989,Divi's Laboratories Ltd,INE361B01024,0.052,2025-12-31
118989,UltraTech Cement Ltd,INE481G01011,0.048,2025-12-31
118989,Nestle India Ltd,INE239A01016,0.045,2025-12-31
118989,Mahindra & Mahindra Ltd,INE101A01026,0.042,2025-12-31
118989,Sun Pharmaceutical Industries Ltd,INE044A01036,0.04,2025-12-31
118989,HCL Technologies Ltd,INE860A01027,0.038,2025-12-31
118989,Wipro Ltd,INE075A01022,0.035,2025-12-31
118989,Maruti Suzuki India Ltd,INE585B01010,0.032,2025-12-31
118989,Bharti Airtel Ltd,INE397D01024,0.03,2025-12-31
118989,Larsen & Toubro Ltd,INE018A01030,0.028,2025-12-31
118989,ITC Ltd,INE154A01025,0.025,2025-12-31
118989,NTPC Ltd,INE733E01010,0.022,2025-12-31
118989,Axis Bank Ltd,INE238A01034,0.02,2025-12-31
118989,Hindustan Unilever Ltd,INE030A01027,0.018,2025-12-31
118989,Kotak Mahindra Bank Ltd,INE237A01028,0.015,2025-12-31
