scheme_code,instrument,isin,weight,report_date
100526,ICICI Bank Ltd,INE090A01021,0.078,2025-12-31
100526,HDFC Bank Ltd,INE040A01034,0.072,2025-12-31
100526,Infosys Ltd,INE009A01021,0.065,2025-12-31
100526,Reliance Industries Ltd,INE002A01018,0.06,2025-12-31
100526,State Bank of India,INE062A01020,0.052,2025-12-31
100526,Tata Consultancy Services Ltd,INE467B01029,0.048,2025-12-31
100526,Larsen & Toubro Ltd,INE018A01030,0.045,2025-12-31
100526,ITC Ltd,INE154A01025,0.04,2025-12-31
100526,Bharti Airtel Ltd,INE397D01024,0.038,2025-12-31
100526,Bajaj Finance Ltd,INE296A01024,0.035,2025-12-31
100526,Sun Pharmaceutical Industries Ltd,INE044A01036,0.032,2025-12-31
100526,Kotak Mahindra Bank Ltd,INE237A01028,0.028,2025-12-31
100526,Maruti Suzuki India Ltd,INE585B01010,0.025,2025-12-31
100526,Hindustan Unilever Ltd,INE030A01027,0.022,2025-12-31
100526,HCL Technologies Ltd,INE860A01027,0.02,2025-12-31
100526,Titan Company Ltd,INE280A01028,0.018,2025-12-31
100526,Mahindra & Mahindra Ltd,INE101A01026,0.015,2025-12-31
100526,UltraTech Cement Ltd,INE481G01011,0.012,2025-12-31
